longitude,latitude
-86.11258,33.99458
-86.09781,34.01703
-86.10308,34.01336
-85.46171,32.59537
-85.47602,32.59854
-85.48454,32.62151
-85.46473,32.60078
-85.49312,32.61897
-85.47273,32.58867
-85.46721,32.58403
-85.45744,32.56285
-85.49778,32.63069
-85.55835,32.54798
-86.70173,32.66069
-86.38302,32.69676
-86.4549,32.45273
-86.4746,32.49607
-86.46986,32.48445
-86.4506,32.45454
-86.46902,32.4633
-86.46425,32.58793
-86.42482,32.45241
-86.45479,32.45763
-86.47502,32.49574
-86.66019,32.43348
-86.4283,32.44805
-86.46698,32.45771
-87.77378,30.88868
-87.77378,30.88868
-87.8688,30.61665
-87.68423,30.26803
-87.70787,30.54038
-87.90254,30.59093
-87.59871,30.41946
-87.62448,30.56718
-87.90264,30.53087
-87.68753,30.40819
-87.62279,31.00208
-87.68668,30.61845
-87.75276,30.54354
-87.90557,30.67391
-87.79121,30.74261
-87.69616,30.48697
-87.72893,30.31575
-87.88618,30.49878
-87.73113,30.59039
-87.90574,30.52089
-87.55859,30.29645
-87.8555,30.67658
-87.58686,30.41433
-87.68246,30.26802
-87.74266,30.41262
-87.85715,30.47232
-87.86026,31.03137
-87.78306,30.86644
-87.69637,30.54891
-87.68134,30.26912
-87.90413,30.50184
-87.78315,30.8656
-87.77647,30.89062
-87.90284,30.61231
-87.87858,30.52378
-87.87548,30.52543
-87.69073,30.40858
-87.69212,30.38549
-87.75894,30.61352
-87.7511,30.8663
-87.69862,30.55271
-87.86373,30.64024
-87.84793,30.78848
-87.68706,30.38124
-87.79305,30.89409
-87.7761,30.8958
-87.87272,30.61111
-87.8536,30.6854
-85.44961,31.88077
-85.4331,31.8652
-85.55465,31.78163
-85.60486,31.45945
-85.54895,31.77747
-86.93112,33.33624
-86.9402,33.40998
-86.95205,33.39128
-86.98644,33.36639
-86.95825,33.37743
-86.98001,33.37814
-86.95799,33.40189
-86.98653,33.36664
-86.96058,33.41295
-87.14421,32.95072
-87.16306,32.94253
-87.10494,32.94271
-86.90581,32.90042
-87.11844,33.11523
-87.1281,33.1228
-87.13545,33.05565
-87.12314,33.11535
-87.12499,32.94587
-87.13747,33.21227
-86.77114,33.52487
-86.80493,33.5034
-86.77205,33.51618
-86.70768,33.57146
-86.72849,33.55937
-86.89889,33.48551
-86.89445,33.50427
-86.82974,33.48791
-86.88689,33.48502
-86.69085,33.58041
-86.88539,33.51265
-86.73555,33.56861
-86.81332,33.4943
-86.89432,33.50644
-86.73355,33.54201
-86.76234,33.5408
-86.68583,33.60546
-86.89706,33.46881
-86.77217,33.53066
-86.85182,33.4939
-86.83137,33.51119
-86.75094,33.54135
