longitude,latitude
-87.8409031,42.6741712
-91.9529552,45.7810584
-90.5029329,45.784681
-91.294875,44.9535728
-89.5798442,43.5477593
-88.0489922,44.8686018
-89.2628921,45.0024691
-90.1712582,42.8643088
-90.7190315,44.5785731
-92.3396355,45.2605185
-88.0914899,44.2708241
-92.0218464,45.3391262
-92.0390576,44.4846898
-90.9782061,45.630522
-92.0269066,44.6009953
-91.7432253,45.4919016
-91.5551629,44.8188493
-87.7220302,43.7472172
-89.6938202,43.350688
-91.07708,43.9107986
-88.939553,42.5744584
-88.0889926,44.6316592
-91.2362699,45.6669057
-88.6534363,42.6330702
-91.8254548,45.9113358
-91.4148658,43.9927407
-91.5401833,46.1282809
-91.9399076,46.1379984
-88.9059394,44.467481
-88.8987243,45.5216303
-91.7171138,45.3885702
-90.9240196,43.6635821
-87.9470408,44.2827708
-88.9042724,44.6733119
-87.5453594,44.3052744
-90.0885031,46.3221705
-88.1945519,45.3152476
-88.1353961,45.5799613
-91.3234787,44.0235731
-89.6359572,43.8119206
-90.1662574,45.4052436
-91.1534772,45.2724668
-90.4565383,45.5874643
-88.0320485,44.6330481
-89.3981714,44.43775
-89.7413893,44.363692
-91.2418172,45.3344091
-92.0463013,46.7004955
-92.4888078,45.2480198
-91.2440486,45.698016
-87.6356391,44.1747174
-89.9506811,43.5049819
-89.987347,42.7591682
-87.704552,45.1510931
-86.9269241,45.3982039
-86.8973399,45.3372084
-86.8590088,45.3960961
-87.363327,45.1992103
-87.4848104,44.5847213
-87.3500928,44.7105556
-91.9096198,45.5260661
-89.7387353,43.5488702
-91.8893414,45.499956
-87.8128515,42.5616871
-87.9692694,44.5377706
-91.2901857,46.7679905
-87.1081209,45.2558515
-87.4917302,44.6924951
-87.1587161,45.0094393
-87.0609367,45.2972553
-87.3731535,44.843608
-88.072125,44.5011902
-87.4433271,44.6099237
-88.0339927,44.5280478
-87.4975869,44.5491658
-90.183465,44.1499645
-91.5334797,44.0499631
-88.072536,44.5507049
-91.6204641,46.6874382
-88.8762195,45.1516362
-91.2301734,46.0127341
-87.9664936,45.1077599
-88.7970515,45.1296935
-88.4488561,45.3442037
-91.0865764,46.244675
-90.4484782,45.3330259
-88.4012329,45.7057921
-88.4481596,45.041929
-88.6720508,45.264135
-90.1662671,45.8460629
-91.2493561,46.624107
-91.4112954,46.1680055
-90.5532009,45.4608021
-88.8339973,45.269134
-88.2045448,43.8624922
-88.9917871,45.7369042
-88.9167756,45.1324694
-90.8876802,46.1235645
-91.0201817,46.097454
-90.6117534,45.3633345
-91.0779603,46.133565
-88.8114985,45.3944107
-92.7443735,45.1588556
-92.5335308,45.1266323
-92.6485354,45.1219107
-92.5179728,44.9508002
-92.3390797,45.1719082
-87.184269,44.9436075
-92.4096372,45.0469098
-90.8835222,46.9499305
-92.6974296,45.298298
-91.2499116,46.6246625
-90.7309669,45.2185841
-90.718745,45.1658054
-90.2518233,45.8313402
-91.3885137,46.1057849
-92.7988139,44.7616343
-89.8765455,46.0666161
-90.1229182,45.2282996
-90.3884852,45.7021807
-92.7907578,44.7452454
-92.6065854,44.8569118
-92.7935356,44.7496899
-92.8007583,44.746912
-90.0579511,46.6624457
-90.1597222,46.45
-88.0594444,46.6872222
-87.6775,46.4930556
-87.6685522,46.4824681
-87.6611678,46.5118099
-87.605,46.505
-83.8755556,45.9902778
-85.6903297,46.3385228
-90.681512,39.1261598
-89.0497292,42.4802516
-89.1501081,42.3075189
-89.1176564,42.2848609
-87.8244507,42.3614168
-90.0409383,38.8711585
-89.8823267,42.2968322
-88.9220114,38.1772718
-89.3714811,40.5244831
-87.6825384,41.8725818
-89.6339873,39.7697728
-87.6269649,40.1575365
-91.45043,39.9858793
-89.4089786,41.0675362
-88.6331107,37.7025488
-87.8231277,42.436688
-89.2318987,38.7800501
-90.6709075,40.4605546
-89.063161,42.259187
-90.0287276,40.3611527
-87.8752259,42.0322015
-87.672111,40.3749947
-89.467037,41.4192027
-88.5381054,38.6647696
-89.112013,38.5614379
-87.8459823,42.0713013
-87.5419681,40.6139255
-90.6012327,39.2136589
-88.2100613,41.3933644
-89.2281395,37.6947726
-87.8192389,42.4480768
-89.8609387,41.2803146
-89.9095525,37.9689408
-90.5845643,39.0294931
-88.111131,38.7443707
-88.8799121,39.8692873
-87.872573,42.372244
-89.0861591,42.2702794
-89.1628854,42.2683533
-88.9306239,38.081994
-87.654322,40.1464908
-90.0253943,40.5211502
-89.7812152,40.8169815
-91.1539891,40.4172673
-87.6264304,41.4139235
-88.364213,38.3886592
-87.597246,38.994765
-89.1527008,42.2752277
-88.0494506,41.6011499
-90.1114961,38.8022708
-90.064001,38.0628301
-91.3634842,40.3939332
-91.3762636,40.5347646
-89.6639785,38.7319919
-89.8470889,39.9787412
-88.8806204,38.2417161
-89.0878841,42.2769643
-89.0095151,38.1736611
-89.3520338,41.3878133
-87.9900693,42.0144728
-91.4604305,39.9986571
-89.4306455,40.9908695
-88.9511805,38.0569942
-88.1414669,42.1597472
-90.6073433,39.1103262
-90.297069,40.6205954
-90.2137359,41.6575323
-91.3520924,39.776157
-89.0326063,42.3336298
-91.0115319,40.8847604
-88.9487066,37.7246823
-90.1614979,38.9058812
-88.5592445,41.7647514
-87.7283661,40.7833687
-91.1873643,40.2564346
-89.1406635,42.3044635
-87.8355862,38.7297696
-90.7001237,39.170604
-89.2050829,37.7397727
-89.0050702,38.1983833
-89.0743911,38.5334536
-89.1356313,39.1644882
-89.0659143,42.2825971
-91.4179287,39.9567127
-89.1209407,42.3000192
-89.8587092,39.0714354
-88.8555113,41.5390792
-88.0895038,41.5519752
-89.0659393,42.2852975
-90.7798488,39.3192144
-89.0903848,42.308908
-88.9911823,38.0583833
-90.1514976,38.9111589
-88.5853296,38.5431035
-90.5756755,39.0642152
-88.7689428,38.7297694
-90.95431,41.1167011
-90.4159615,42.3402894
-90.5617858,39.021993
-88.4403532,41.7839178
-87.8828823,41.5084576
-89.0498274,42.2611313
-89.2259378,42.0861372
-88.7314578,37.1488041
-89.3478615,38.2839391
-87.6658597,39.2072614
-89.0487172,42.3083525
-89.1101681,41.3348979
-89.1217504,41.2642022
-88.688666,37.4681065
-89.0878556,42.2315644
-89.0842716,42.2227992
-89.5684459,40.747032
-88.7064792,42.0655824
-88.7525877,41.9536402
-89.4687021,40.88587
-88.6406436,42.0530822
-87.6258747,41.4111457
-89.9070456,38.586716
-89.8189897,38.2828266
-89.9626047,38.401717
-89.8212086,38.6208818
-89.9026026,38.4228276
-89.8848238,38.4764387
-90.4673537,41.3894792
-89.8645455,38.449494
-89.8795471,38.2986605
-89.8814915,38.3244939
-89.3331358,37.1306058
-90.0206622,38.4231064
-90.0895532,38.4539404
-89.7509285,38.599215
-89.8038981,38.5957504
-89.0641533,42.3805541
-89.0102921,42.3926851
-89.0470496,42.2641869
-89.1188188,42.1950469
-89.0189913,42.1861335
-89.0978229,42.2859608
-89.1053827,42.2091885
-89.0860428,42.2909849
-89.0305199,42.3051305
-89.7695386,38.9672685
-89.8195409,39.0008794
-89.8500974,38.8883801
-89.7737054,38.7122699
-89.7773161,38.7897694
-89.9820467,38.7508814
-89.9463092,38.8203452
-89.8925991,38.8578249
-87.9847765,41.4875315
-87.7047666,41.4436454
-88.8325767,41.3617
-90.5376351,41.5175344
-89.9808826,38.5002643
-89.9653811,38.5833829
-89.8986312,38.5575186
-87.815626,42.3658553
-90.0451052,38.8758807
-91.055704,41.348085
-87.9095598,41.7249671
-87.6272668,41.5505904
-87.6897702,41.613923
-87.6775457,41.5289235
-87.6872899,41.6108008
-87.7222697,41.5475343
-87.6778251,41.6036453
