latitude,longitude
42.5328079,-83.1584508
42.5328116,-83.158032
43.6815853,-79.3311035
43.5815324,-79.6174445
43.5816453,-79.6175796
43.5814126,-79.617205
43.5815217,-79.6173109
43.579601,-79.6148
43.5796664,-79.6148932
43.5797699,-79.6150444
43.5797009,-79.6148423
40.6103234,-75.3779604
37.7866814,-122.4127614
38.9044059,-77.062599
43.5271449,-79.8672119
28.0539098,-82.4011627
38.8649784,-76.9510204
38.9089262,-77.0644264
45.390997,-75.7565016
37.0257379,-76.45456
37.025678,-76.4545278
33.417585,-117.602533
42.6133115,-73.7880178
39.204987,-96.6183747
39.1896022,-96.6152778
44.2375475,-76.5665482
42.7529463,-73.7625773
44.9482913,-93.3018861
44.9482351,-93.2928306
42.7732954,-73.8919565
42.7718411,-73.8926362
42.6945823,-73.6369667
42.7268491,-73.7950591
44.7476715,-93.3778876
44.7481326,-93.3778892
44.7478252,-93.3778882
44.7989771,-93.5247345
44.7989989,-93.5244976
38.9537261,-77.027368
38.900399,-76.9953078
38.900377,-76.998688
38.9005154,-76.9809643
43.736058,-79.3473504
42.7491162,-73.761849
39.1523967,-77.0673272
42.7282401,-73.7597693
42.7277682,-73.7610209
42.7281429,-73.7597422
42.7281836,-73.7597739
42.7276306,-73.7610137
43.6489217,-79.3967162
39.1913928,-96.6082627
39.1917122,-96.6084561
36.8589898,-121.4002695
42.8031165,-73.9000899
42.8050031,-73.905951
42.8049057,-73.9056394
38.9495396,-77.0800227
38.9651314,-77.0760115
28.070928,-82.4299145
28.0706677,-82.429877
28.0688243,-82.4308291
28.0688899,-82.4438968
28.0688899,-82.4436018
28.0696141,-82.444326
28.0695748,-82.4363892
28.0686826,-82.4371832
28.0694825,-82.4356811
28.0698186,-82.4426468
28.0696482,-82.4379074
28.0687236,-82.4415594
38.9632682,-77.0742679
28.0548629,-82.3776074
28.0549447,-82.4002324
43.6988795,-79.3969763
37.672047,-97.4433417
39.0766118,-77.0041013
39.0767805,-77.0024776
46.5515938,-75.4991605
46.5506426,-75.4988414
46.5530998,-75.4971292
46.5523114,-75.4990439
46.554391,-75.4950281
45.518573,-73.5843713
43.6684397,-79.3962239
33.7754331,-84.2936081
38.5022277,-90.4535348
47.5513663,-122.1778799
28.0534067,-82.3952582
34.7794776,-82.3046183
34.780269,-82.3030761
43.6934257,-79.7681467
43.6862406,-79.7577366
34.7860907,-82.2919691
49.2695503,-123.1395334
28.0829014,-82.4122983
28.0555991,-82.4275343
28.0557932,-82.4292134
34.8259371,-82.3012165
38.911132,-77.065579
43.9128306,-78.6908887
28.0535592,-82.4334023
47.654594,-117.4368786
45.5207383,-122.9726445
43.3962944,-80.3231303
36.9753297,-122.0242001
30.2479896,-97.7618403
42.2427124,-70.9592823
42.2429348,-70.9600451
