latitude,longitude
33.5034,-86.80493
33.51618,-86.77205
33.57146,-86.70768
33.55937,-86.72849
33.48551,-86.89889
33.50427,-86.89445
33.48791,-86.82974
33.48502,-86.88689
33.58041,-86.69085
33.51265,-86.88539
33.56861,-86.73555
33.4943,-86.81332
33.50644,-86.89432
33.54201,-86.73355
33.5408,-86.76234
33.60546,-86.68583
33.46881,-86.89706
33.53066,-86.77217
33.4939,-86.85182
33.51119,-86.83137
33.54135,-86.75094
33.55567,-86.80461
33.59541,-86.69292
33.6103,-86.68266
33.56324,-86.77961
33.47826,-86.85471
33.46441,-86.88384
33.53706,-86.76841
33.48482,-86.86757
33.54478,-86.82445
33.51889,-86.72776
33.50493,-86.88288
33.55677,-86.81961
33.59109,-86.70667
33.54008,-86.80172
33.53646,-86.73296
33.51922,-86.89172
33.51621,-86.83054
33.46461,-86.8715
33.47961,-86.88071
33.50262,-86.86014
33.52818,-86.71459
33.49789,-86.79685
33.57168,-86.71916
33.61102,-86.69982
33.5246,-86.82902
33.49601,-86.82931
33.4493,-86.88884
33.4495,-86.88832
33.48376,-86.86738
33.53162,-86.77278
33.5221,-86.83429
33.50813,-86.85335
33.54135,-86.75094
33.61826,-86.68131
33.50471,-86.91659
33.50424,-86.8333
33.5646,-86.7747
33.5646,-86.7747
33.54734,-86.74464
33.54135,-86.75094
33.5034,-86.80493
33.52136,-86.88883
33.50644,-86.89432
33.54292,-86.89226
33.59462,-86.7046
33.56138,-86.82324
33.52239,-86.8053
33.5665,-86.7893
33.54538,-86.75842
33.55299,-86.87745
33.53387,-86.80435
33.47622,-86.87103
33.51335,-86.86269
33.5243,-86.88333
33.44157,-86.9191
33.50644,-86.89432
33.50424,-86.8333
33.63609,-86.71215
33.51468,-86.78939
33.51468,-86.78939
33.5665,-86.7893
33.87814,-86.77205
34.03791,-86.42063
34.08592,-86.58616
33.99462,-86.57296
33.88356,-86.77064
33.88705,-86.76656
34.07168,-86.587
33.90857,-86.61723
33.78738,-86.621
34.07751,-86.46466
33.90548,-86.51249
33.99292,-86.56896
33.99149,-86.55453
33.90726,-86.61716
33.99609,-86.58144
34.07751,-86.46466
31.11915,-87.06866
31.12574,-87.06283
31.13738,-87.06866
32.13158,-85.72436
32.0753,-85.4718
32.13242,-85.71949
32.14619,-85.71202
32.14344,-85.7133
31.64195,-86.74156
31.83039,-86.65231
31.83758,-86.62683
31.54536,-86.71442
31.64546,-86.72831
31.83386,-86.62576
31.8315,-86.6395
31.83222,-86.6264
33.7061,-85.82169
33.77602,-85.8864
33.78583,-86.00336
33.70174,-85.8308
33.70176,-85.83767
33.70173,-85.83059
33.754,-85.81576
33.74695,-85.83495
33.65268,-85.87954
33.74778,-85.68761
33.69634,-85.82372
33.80092,-85.76004
33.78813,-86.00276
33.88461,-85.81097
33.72218,-85.67411
33.88541,-85.8148
33.64754,-85.87877
33.77573,-85.88208
32.89795,-85.39579
32.79345,-85.18605
33.01396,-85.33969
32.83495,-85.22937
32.89943,-85.39855
32.81345,-85.17125
32.83893,-85.18317
32.89087,-85.3985
32.80178,-85.18145
32.80616,-85.19693
32.9081,-85.4265
34.22002,-85.60542
34.15033,-85.67345
34.15167,-85.6778
34.16454,-85.65916
34.2707,-85.5617
34.23994,-85.76783
33.9727,-85.5538
34.15899,-85.68754
32.82844,-86.7856
32.96547,-86.74748
32.80853,-86.88041
32.91459,-86.71646
32.82402,-86.6155
32.82538,-86.61562
32.74942,-86.50889
